72,73,74,75,76,77,78,79,80;71,72,73,74,75,76,77,78,79
65,66,67,68,69;91,92,93,94,95,96,97,98,99,100,101,102,103
52,53,54,55,56,57,58,59,60,61,62;89,90,91,92,93,94,95,96,97,98,99
20,25,36,45,89;25,36,77,88,98
54,55,56,57,58,59,60,61,62,63,64,65;73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
9,10,11;33,34,35
79,80,81,82,83,84;77,78,79,80,81,82,83,84,85,86,87,88
68,69,70,71,72,73,74,75,76,77,78,79;60,61,62,63,64
78,79,80,81,82,83;58,59,60,61,62,63
97,98,99,100,101,102,103,104,105,106;91,92,93,94,95,96
89,90,91,92,93,94,95,96,97,98,99,100,101,102;76,77,78,79,80,81,82,83,84
93,94,95,96,97,98,99,100;96,97,98,99,100,101,102,103,104,105,106,107,108
98,99,100,101,102;62,63,64,65,66,67,68,69,70,71,72,73
51,52,53,54,55,56,57,58,59,60,61,62,63;51,52,53,54,55,56,57
56,57,58,59,60,61,62,63,64,65;99,100,101,102,103,104,105
9,10,11;11,12,13
70,71,72,73,74,75,76,77,78,79,80,81,82,83,84;93,94,95,96,97,98,99
68,69,70,71,72,73,74,75,76,77,78,79,80,81,82;59,60,61,62,63,64,65,66,67,68,69,70,71
1,2,3,4;3,4,5,6
57,58,59,60,61,62,63,64,65,66,67,68;51,52,53,54,55,56,57,58,59,60,61
